date,journals,facpubs,total
201207,2.9194104735027,0,2.9194104735027
201208,2.4625903803835,0,2.4625903803835
201209,2.2658291457286,0.65786516853933,2.0218243819267
201210,3.0764514699365,4.9292134831461,3.4622178032518
201211,2.962454747168,3.7543071161049,3.1506721267693
201212,2.2704933861157,2.66856191929,2.3732855863921
201301,2.656653773352,2.8942328857583,2.7213070564275
201302,2.1713683759463,2.2778031201533,2.2013088669319
201303,1.5999495363654,1.3881666017906,1.5388880159817
201304,1.3601316937277,1.1552040192817,1.3000835554848
201305,1.3977342003658,1.0039727923915,1.2808810132009
201306,1.0302034392575,0.71856416909936,0.93677983955919
201307,0.88243421332313,0.56188094537609,0.78549822064057
201308,0.73223936327012,0.48006732813607,0.65474197193068
201309,0.58920927521448,0.39472515045034,0.52876045092772
